Country/Territory Country/Territory,IMF[1][6] Forecast,IMF[1][6] Year,World Bank[7] Estimate,World Bank[7] Year,United Nations[8] Estimate,United Nations[8] Year,source_page,table_number
Papua New Guinea,32835,2025,32538,2024,31020,2023,List_of_countries_by_GDP_(nominal),1
Sudan,31506,2025,49910,2024,34021,2023,List_of_countries_by_GDP_(nominal),1
Guinea,30094,2025,25334,2024,23006,2023,List_of_countries_by_GDP_(nominal),1
Zambia,28910,2025,26326,2024,27578,2023,List_of_countries_by_GDP_(nominal),1
Bosnia and Herzegovina,28807,2025,28343,2024,27515,2023,List_of_countries_by_GDP_(nominal),1
Albania,28372,2025,27178,2024,22978,2023,List_of_countries_by_GDP_(nominal),1
Burkina Faso,27056,2025,23250,2024,20325,2023,List_of_countries_by_GDP_(nominal),1
Trinidad and Tobago,26467,2025,26429,2024,25489,2023,List_of_countries_by_GDP_(nominal),1
Armenia,26258,2025,25787,2024,24219,2023,List_of_countries_by_GDP_(nominal),1
Guyana,25822,2025,24836,2024,16683,2023,List_of_countries_by_GDP_(nominal),1
Mongolia,25804,2025,23586,2024,19872,2023,List_of_countries_by_GDP_(nominal),1
Malta,25750,2025,24322,2024,22212,2023,List_of_countries_by_GDP_(nominal),1
Mozambique,23771,2025,22417,2024,20954,2023,List_of_countries_by_GDP_(nominal),1
Mali,23208,2025,26588,2024,20662,2023,List_of_countries_by_GDP_(nominal),1
Benin,22236,2025,21483,2024,19673,2023,List_of_countries_by_GDP_(nominal),1
Niger,21874,2025,19538,2024,16819,2023,List_of_countries_by_GDP_(nominal),1
Jamaica,21411,2025,19930,2024,19423,2023,List_of_countries_by_GDP_(nominal),1
Nicaragua,21155,2025,19694,2024,17829,2023,List_of_countries_by_GDP_(nominal),1
Gabon,20391,2025,20867,2024,20056,2023,List_of_countries_by_GDP_(nominal),1
Lebanon,—,—,20079,2023,27464,2023,List_of_countries_by_GDP_(nominal),1
Syria,—,—,19993,2023,29028,2023,List_of_countries_by_GDP_(nominal),1
Kyrgyzstan,19849,2025,17478,2024,13988,2023,List_of_countries_by_GDP_(nominal),1
Moldova,19462,[n 11]2025,18200,[n 11]2024,16542,[n 11]2023,List_of_countries_by_GDP_(nominal),1
Botswana,19400,2025,19401,2024,19396,2023,List_of_countries_by_GDP_(nominal),1
Chad,18792,2025,20626,2024,17643,2023,List_of_countries_by_GDP_(nominal),1
Madagascar,18708,2025,17421,2024,15870,2023,List_of_countries_by_GDP_(nominal),1
North Macedonia,17885,2025,16685,2024,15764,2023,List_of_countries_by_GDP_(nominal),1
Yemen,17401,2025,—,—,8758,2023,List_of_countries_by_GDP_(nominal),1
Afghanistan,—,—,17152,2023,16417,2023,List_of_countries_by_GDP_(nominal),1
North Korea,—,—,—,—,16447,2023,List_of_countries_by_GDP_(nominal),1
Laos,16322,2025,16503,2024,15008,2023,List_of_countries_by_GDP_(nominal),1
Brunei,16007,2025,15463,2024,15128,2023,List_of_countries_by_GDP_(nominal),1
Mauritius,15495,2025,14953,2024,14397,2023,List_of_countries_by_GDP_(nominal),1
Congo,15281,2025,15720,2024,14167,2023,List_of_countries_by_GDP_(nominal),1
Bahamas,15178,2025,15833,2024,14338,2023,List_of_countries_by_GDP_(nominal),1
Tajikistan,14836,2025,14205,2024,12061,2023,List_of_countries_by_GDP_(nominal),1
Rwanda,14771,2025,14252,2024,14097,2023,List_of_countries_by_GDP_(nominal),1
Namibia,14214,2025,13372,2024,12351,2023,List_of_countries_by_GDP_(nominal),1
Malawi,13959,2025,11009,2024,12627,2023,List_of_countries_by_GDP_(nominal),1
Palestine,—,—,13711,[n 12]2024,17396,[n 13]2023,List_of_countries_by_GDP_(nominal),1
Somalia,12994,2025,12109,2024,10969,2023,List_of_countries_by_GDP_(nominal),1
Equatorial Guinea,12684,2025,12766,2024,12117,2023,List_of_countries_by_GDP_(nominal),1
Channel Islands,—,—,12508,2023,—,—,List_of_countries_by_GDP_(nominal),1
Mauritania,11470,2025,10767,2024,10652,2023,List_of_countries_by_GDP_(nominal),1
Kosovo,11274,2025,11149,2024,10467,2023,List_of_countries_by_GDP_(nominal),1
New Caledonia,—,—,9623,2022,10140,2023,List_of_countries_by_GDP_(nominal),1
Togo,10023,2025,9926,2024,9278,2023,List_of_countries_by_GDP_(nominal),1
Monaco,—,—,9995,2023,9995,2023,List_of_countries_by_GDP_(nominal),1
Bermuda,—,—,8980,2024,8142,2023,List_of_countries_by_GDP_(nominal),1
Montenegro,8562,2025,8070,2024,7530,2023,List_of_countries_by_GDP_(nominal),1
Sierra Leone,8386,2025,7548,2024,6412,2023,List_of_countries_by_GDP_(nominal),1
Liechtenstein,—,—,8288,2023,7965,2023,List_of_countries_by_GDP_(nominal),1
Barbados,7552,2025,7165,2024,6721,2023,List_of_countries_by_GDP_(nominal),1
Maldives,7480,2025,6975,2024,6591,2023,List_of_countries_by_GDP_(nominal),1
Isle of Man,—,—,7431,2022,—,—,List_of_countries_by_GDP_(nominal),1
Cayman Islands,—,—,7139,2023,7127,2023,List_of_countries_by_GDP_(nominal),1
Guam,—,—,6910,2022,—,—,List_of_countries_by_GDP_(nominal),1
Burundi,6745,2025,2162,2024,3960,2023,List_of_countries_by_GDP_(nominal),1
French Polynesia,—,—,6402,2023,6398,2023,List_of_countries_by_GDP_(nominal),1
Fiji,6257,2025,5841,2024,5442,2023,List_of_countries_by_GDP_(nominal),1
Eswatini,5483,2025,4892,2024,4574,2023,List_of_countries_by_GDP_(nominal),1
Liberia,5166,2025,4750,2024,5039,2023,List_of_countries_by_GDP_(nominal),1
U.S. Virgin Islands,—,—,4672,2022,—,—,List_of_countries_by_GDP_(nominal),1
Djibouti,4587,2025,4086,2024,4000,2023,List_of_countries_by_GDP_(nominal),1
Suriname,4506,2025,4714,2024,3759,2023,List_of_countries_by_GDP_(nominal),1
Aruba,4100,2025,3649,2023,3649,2023,List_of_countries_by_GDP_(nominal),1
Andorra,4035,2025,4040,2024,3785,2023,List_of_countries_by_GDP_(nominal),1
South Sudan,3998,2025,—,—,4629,2023,List_of_countries_by_GDP_(nominal),1
Faroe Islands,—,—,3907,2023,—,—,List_of_countries_by_GDP_(nominal),1
Belize,3611,2025,3516,2024,3079,2023,List_of_countries_by_GDP_(nominal),1
Bhutan,3422,2025,3019,2023,3019,2023,List_of_countries_by_GDP_(nominal),1
Greenland,—,—,3327,2023,3041,2023,List_of_countries_by_GDP_(nominal),1
Curaçao,—,—,3281,2023,3281,2023,List_of_countries_by_GDP_(nominal),1
Central African Republic,2932,2025,2752,2024,2555,2023,List_of_countries_by_GDP_(nominal),1
Cape Verde,2786,2025,2768,2024,2591,2023,List_of_countries_by_GDP_(nominal),1
Gambia,2771,2025,2508,2024,2401,2023,List_of_countries_by_GDP_(nominal),1
Saint Lucia,2632,2025,2549,2024,2430,2023,List_of_countries_by_GDP_(nominal),1
Zanzibar,—,—,—,—,2483,2023,List_of_countries_by_GDP_(nominal),1
Lesotho,2404,2025,2272,2024,2118,2023,List_of_countries_by_GDP_(nominal),1
Antigua and Barbuda,2373,2025,2225,2024,2033,2023,List_of_countries_by_GDP_(nominal),1
Eritrea,—,—,—,—,2275,2023,List_of_countries_by_GDP_(nominal),1
Guinea-Bissau,2274,2025,2120,2024,1841,2023,List_of_countries_by_GDP_(nominal),1
Seychelles,2198,2025,2167,2024,2141,2023,List_of_countries_by_GDP_(nominal),1
Timor-Leste,2115,2025,1881,2024,2080,2023,List_of_countries_by_GDP_(nominal),1
San Marino,2047,2025,1832,2022,1987,2023,List_of_countries_by_GDP_(nominal),1
Solomon Islands,1898,2025,1761,2024,1633,2023,List_of_countries_by_GDP_(nominal),1
Turks and Caicos Islands,—,—,1745,2024,1402,2023,List_of_countries_by_GDP_(nominal),1
Sint Maarten,—,—,1735,2024,1677,2023,List_of_countries_by_GDP_(nominal),1
Comoros,1548,2025,1546,2024,1448,2023,List_of_countries_by_GDP_(nominal),1
British Virgin Islands,—,—,—,—,1506,2023,List_of_countries_by_GDP_(nominal),1
Grenada,1464,2025,1391,2024,1317,2023,List_of_countries_by_GDP_(nominal),1
Vanuatu,1267,2025,1161,2024,1119,2023,List_of_countries_by_GDP_(nominal),1
Saint Vincent and the Grenadines,1242,2025,1157,2024,1091,2023,List_of_countries_by_GDP_(nominal),1
Northern Mariana Islands,—,—,1096,2022,—,—,List_of_countries_by_GDP_(nominal),1
Samoa,1160,2025,1068,2024,1032,2023,List_of_countries_by_GDP_(nominal),1
Saint Kitts and Nevis,1129,2025,1067,2024,1058,2023,List_of_countries_by_GDP_(nominal),1
American Samoa,—,—,871,2022,—,—,List_of_countries_by_GDP_(nominal),1
São Tomé and Príncipe,864,2025,764,2024,684,2023,List_of_countries_by_GDP_(nominal),1
Dominica,742,2025,689,2024,651,2023,List_of_countries_by_GDP_(nominal),1
Saint Martin,—,—,649,2021,—,—,List_of_countries_by_GDP_(nominal),1
Tonga,568,2025,509,2023,508,2023,List_of_countries_by_GDP_(nominal),1
Micronesia,500,2025,471,2024,460,2023,List_of_countries_by_GDP_(nominal),1
Anguilla,—,—,—,—,416,2023,List_of_countries_by_GDP_(nominal),1
Cook Islands,—,—,—,—,366,2023,List_of_countries_by_GDP_(nominal),1
Palau,333,2025,282,2023,282,2023,List_of_countries_by_GDP_(nominal),1
Kiribati,312,2025,308,2024,289,2023,List_of_countries_by_GDP_(nominal),1
Marshall Islands,297,2025,280,2024,270,2023,List_of_countries_by_GDP_(nominal),1
Nauru,169,2025,160,2024,176,2023,List_of_countries_by_GDP_(nominal),1
Montserrat,—,—,—,—,80,2023,List_of_countries_by_GDP_(nominal),1
Tuvalu,65,2025,62,2023,68,2023,List_of_countries_by_GDP_(nominal),1
